Entity,WeeksMentioned,WeeklyGrowth
GitHub,5,0.8298611111111112
lLMs,5,-0.09238782051282052
TensorFlow,5,0.1833333333333333
dATASETs,5,-0.20860389610389612
ChatGPT,5,-0.17201328763828763
AutoGPT,5,0.3852813852813852
LLama,5,0.14484126984126983
ChatBot,5,0.6983901515151514
TESTing,5,-0.18472222222222223
OpenAI,5,-0.03521968854282537
GPT4,5,-0.20833333333333337
ML,5,-0.15165130568356378
Algorithm,5,0.01873249299719887
